ID,From,,To,,Google,FFS
,Lat,Long,Lat,Long,Dist(km),
N1-N2,29.992715,31.290508,29.992438,31.285781,0.462,92
N2-N3,29.992438,31.285781,29.991888,31.283606,0.218,91
N3-N4,29.991888,31.283606,29.991479,31.281443,0.213,91
N4-N5,29.991479,31.281443,29.990624,31.274844,0.643,90
N5-N6,29.990624,31.274844,29.990521,31.272472,0.229,90
N6-N7,29.990521,31.272472,29.990132,31.263255,0.889,89
N7-N8,29.990132,31.263255,29.990288,31.257976,0.514,88
N8-N9,29.990288,31.257976,29.992000,31.250910,0.707,85
N9-N10,29.992000,31.250910,29.992516,31.239070,1.151,86
N10-N11,29.992516,31.239070,29.991718,31.234659,0.434,87
N11-N12,29.991718,31.234659,29.990339,31.229714,0.5,93
N12-N13,29.990339,31.229714,29.989838,31.227904,0.183,93
N13-N14,29.989838,31.227904,29.987071,31.217932,1.009,81
N14-N15,29.987071,31.217932,29.986692,31.216004,0.191,79
N15-N16,29.986692,31.216004,29.986754,31.212977,0.292,79
N16-N17,29.986754,31.212977,29.986046,31.208480,0.446,75
N17-N18,29.986046,31.208480,29.985349,31.206322,0.222,75
N18-N19,29.985349,31.206322,29.985674,31.197040,0.927,86
N19-N20,29.985674,31.197040,29.986659,31.187632,0.943,87
N20-N21,29.986659,31.187632,29.986037,31.185136,0.25,91
N21-N22,29.986037,31.185136,29.981750,31.177701,0.884,91
N22-N23,29.981750,31.177701,29.979838,31.176383,0.248,92
N23-N24,29.979838,31.176383,29.977794,31.174941,0.266,92
N24-N25,29.977794,31.174941,29.976704,31.165445,1.011,92
N25-N26,29.976704,31.165445,29.978942,31.160888,0.505,97
N26-N27,29.978942,31.160888,29.980281,31.158814,0.251,97
N27-N28,29.980281,31.158814,29.985894,31.152322,0.884,98
N28-N29,29.985894,31.152322,29.988294,31.150609,0.316,100
N29-N30,29.988294,31.150609,29.991774,31.148940,0.419,100
N30-N31,29.991774,31.148940,29.994156,31.147336,0.308,91
N31-N32,29.994156,31.147336,30.003052,31.139701,1.234,91
N32-N33,30.003052,31.139701,30.006171,31.138422,0.373,75
N33-N34,30.006171,31.138422,30.009104,31.139515,0.379,68
